orig_UserId,user_id
1,0
2,1
3,2
4,3
5,4
6,5
7,6
10,7
11,8
12,9
13,10
15,11
16,12
17,13
18,14
20,15
21,16
22,17
24,18
25,19
26,20
27,21
28,22
29,23
30,24
31,25
33,26
34,27
35,28
36,29
37,30
40,31
42,32
44,33
45,34
47,35
48,36
50,37
51,38
52,39
53,40
55,41
57,42
58,43
59,44
60,45
61,46
62,47
63,48
64,49
65,50
66,51
67,52
68,53
69,54
70,55
71,56
72,57
74,58
76,59
77,60
78,61
79,62
80,63
81,64
82,65
83,66
84,67
85,68
86,69
87,70
88,71
89,72
91,73
92,74
93,75
94,76
95,77
97,78
98,79
99,80
100,81
101,82
102,83
103,84
104,85
105,86
106,87
107,88
108,89
110,90
111,91
112,92
113,93
114,94
115,95
116,96
118,97
120,98
121,99
122,100
123,101
124,102
125,103
127,104
128,105
129,106
130,107
131,108
133,109
135,110
137,111
138,112
139,113
140,114
141,115
142,116
143,117
144,118
145,119
146,120
149,121
150,122
151,123
152,124
153,125
154,126
155,127
156,128
157,129
158,130
159,131
160,132
161,133
162,134
163,135
164,136
165,137
166,138
167,139
168,140
169,141
170,142
171,143
172,144
173,145
174,146
175,147
177,148
178,149
179,150
180,151
181,152
182,153
183,154
184,155
185,156
186,157
187,158
188,159
189,160
190,161
192,162
193,163
194,164
196,165
197,166
198,167
199,168
201,169
202,170
203,171
204,172
205,173
206,174
207,175
208,176
209,177
211,178
212,179
213,180
214,181
215,182
216,183
217,184
218,185
219,186
220,187
221,188
222,189
223,190
224,191
225,192
226,193
227,194
228,195
229,196
230,197
231,198
232,199
233,200
234,201
235,202
236,203
237,204
238,205
239,206
241,207
243,208
245,209
246,210
247,211
248,212
249,213
250,214
251,215
252,216
253,217
254,218
256,219
257,220
258,221
259,222
260,223
261,224
262,225
263,226
264,227
265,228
266,229
268,230
269,231
270,232
271,233
272,234
273,235
275,236
277,237
278,238
279,239
280,240
282,241
283,242
284,243
285,244
286,245
287,246
288,247
289,248
290,249
291,250
292,251
293,252
295,253
296,254
297,255
298,256
299,257
301,258
302,259
303,260
305,261
307,262
308,263
309,264
310,265
311,266
312,267
313,268
314,269
315,270
317,271
318,272
319,273
320,274
322,275
323,276
324,277
325,278
327,279
328,280
330,281
331,282
333,283
336,284
337,285
338,286
339,287
340,288
341,289
346,290
347,291
349,292
350,293
351,294
353,295
354,296
355,297
356,298
357,299
358,300
359,301
360,302
362,303
363,304
364,305
365,306
366,307
367,308
369,309
370,310
371,311
372,312
373,313
374,314
375,315
376,316
377,317
378,318
379,319
380,320
381,321
383,322
384,323
385,324
386,325
387,326
388,327
389,328
391,329
392,330
393,331
395,332
397,333
398,334
399,335
401,336
402,337
403,338
404,339
405,340
406,341
407,342
408,343
409,344
410,345
411,346
412,347
413,348
414,349
415,350
417,351
418,352
421,353
422,354
423,355
424,356
425,357
426,358
428,359
430,360
431,361
432,362
433,363
435,364
436,365
437,366
439,367
440,368
441,369
444,370
445,371
446,372
447,373
448,374
449,375
450,376
451,377
452,378
453,379
454,380
455,381
456,382
458,383
459,384
460,385
461,386
463,387
464,388
465,389
467,390
468,391
470,392
471,393
473,394
474,395
476,396
478,397
479,398
481,399
482,400
483,401
485,402
486,403
488,404
489,405
490,406
491,407
492,408
493,409
494,410
495,411
497,412
500,413
501,414
503,415
505,416
506,417
