orig_uid,user_id
2,0
4,1
15,2
16,3
37,4
43,5
45,6
47,7
48,8
51,9
54,10
56,11
59,12
63,13
72,14
74,15
102,16
105,17
108,18
122,19
133,20
135,21
136,22
143,23
145,24
148,25
150,26
158,27
161,28
163,29
170,30
176,31
179,32
182,33
183,34
196,35
210,36
212,37
214,38
217,39
223,40
243,41
250,42
260,43
268,44
275,45
278,46
281,47
284,48
285,49
286,50
287,51
289,52
298,53
299,54
303,55
304,56
306,57
310,58
316,59
317,60
328,61
330,62
339,63
342,64
344,65
355,66
357,67
367,68
370,69
372,70
407,71
411,72
412,73
413,74
420,75
421,76
423,77
427,78
429,79
442,80
445,81
451,82
455,83
464,84
473,85
476,86
477,87
481,88
485,89
487,90
498,91
500,92
501,93
503,94
504,95
507,96
518,97
524,98
529,99
531,100
540,101
541,102
543,103
545,104
550,105
551,106
555,107
557,108
559,109
563,110
570,111
571,112
582,113
583,114
600,115
606,116
609,117
619,118
622,119
624,120
634,121
635,122
636,123
639,124
642,125
648,126
649,127
652,128
653,129
662,130
665,131
667,132
676,133
687,134
697,135
705,136
706,137
711,138
712,139
715,140
720,141
722,142
724,143
725,144
727,145
735,146
740,147
748,148
754,149
775,150
777,151
782,152
784,153
794,154
798,155
803,156
810,157
811,158
818,159
819,160
831,161
835,162
842,163
844,164
852,165
860,166
862,167
863,168
867,169
876,170
877,171
888,172
898,173
900,174
903,175
930,176
933,177
939,178
944,179
945,180
956,181
962,182
967,183
968,184
969,185
975,186
976,187
986,188
989,189
995,190
996,191
1005,192
1010,193
1018,194
1023,195
1028,196
1030,197
1032,198
1035,199
1044,200
1052,201
1054,202
1059,203
1062,204
1063,205
1065,206
1069,207
1070,208
1071,209
1075,210
1083,211
1084,212
1085,213
1087,214
1089,215
1091,216
1092,217
1094,218
1096,219
1100,220
1104,221
1118,222
1124,223
1125,224
1134,225
1136,226
1138,227
1146,228
1151,229
1156,230
1162,231
1164,232
1166,233
1171,234
1174,235
1181,236
1183,237
1192,238
1195,239
1196,240
1200,241
1205,242
1206,243
1207,244
1218,245
