item_id,knowledge_code
0,[3]
1,[4]
2,[4]
3,[12]
4,[2]
5,[9]
6,[1]
7,[9]
8,[2]
9,[2]
10,[15]
11,[15]
12,[8]
13,[8]
14,[2]
15,[2]
16,[2]
17,[2]
18,[1]
19,[2]
20,[2]
21,[3]
22,[1]
23,[1]
24,[2]
25,[2]
26,[1]
27,[1]
28,[1]
29,[1]
30,[9]
31,[9]
32,[9]
33,[9]
34,[9]
35,[9]
36,[9]
37,[9]
38,[9]
39,[1]
40,[6]
41,[5]
42,[5]
43,[5]
44,[5]
45,[5]
46,[5]
47,[5]
48,[4]
49,[4]
50,[4]
51,[4]
52,[4]
53,[12]
54,[6]
55,[6]
56,[6]
57,[6]
58,[6]
59,[5]
60,[7]
61,[7]
62,[7]
63,[5]
64,[5]
65,[7]
66,[7]
67,[7]
68,[6]
69,[5]
70,[8]
71,[7]
72,[6]
73,[5]
74,[5]
75,[5]
76,[5]
77,[5]
78,[7]
79,[7]
80,[5]
81,[6]
82,[5]
83,[7]
84,[6]
85,[6]
86,[12]
87,[12]
88,[12]
89,[12]
90,[6]
91,[6]
92,[7]
93,[7]
94,[7]
95,[7]
96,[12]
97,[12]
98,[12]
99,[12]
100,[12]
101,[12]
102,[12]
103,[7]
104,[11]
105,[8]
106,[7]
107,[13]
108,[13]
109,[11]
110,[11]
111,[11]
112,[11]
113,[11]
114,[11]
115,[9]
116,[8]
117,[8]
118,[6]
119,[6]
120,[6]
121,[8]
122,[8]
123,[13]
124,[11]
125,[9]
126,[9]
127,[5]
128,[14]
129,[14]
130,[14]
131,[14]
132,[14]
133,[14]
134,[14]
135,[14]
136,[7]
137,[13]
138,[14]
139,[14]
140,[14]
141,[14]
142,[14]
143,[7]
144,[7]
145,[7]
146,[7]
147,[7]
148,[7]
149,[7]
150,[7]
151,[3]
152,[3]
153,[7]
154,[7]
155,[7]
156,[14]
157,[14]
158,[7]
159,[7]
160,[7]
161,[7]
162,[7]
163,[6]
164,[7]
165,[11]
166,[7]
167,[13]
168,[6]
169,[12]
170,[12]
171,[13]
172,[13]
173,[13]
174,[13]
175,[13]
176,[13]
177,[6]
178,[13]
179,[13]
180,[13]
181,[13]
182,[13]
183,[3]
184,[13]
185,[13]
186,[3]
187,[14]
188,[10]
189,[14]
190,[14]
191,[13]
192,[3]
193,[10]
194,[8]
195,[8]
196,[8]
197,[8]
198,[10]
199,[8]
200,[10]
201,[10]
202,[10]
203,[10]
204,[10]
205,[10]
206,[10]
207,[10]
208,[14]
209,[14]
210,[13]
211,[14]
212,[14]
213,[8]
214,[8]
215,[8]
216,[8]
217,[8]
218,[8]
219,[13]
220,[9]
221,[9]
222,[9]
223,[9]
224,[9]
225,[4]
226,[4]
227,[4]
228,[12]
229,[4]
230,[4]
231,[3]
232,[3]
233,[3]
234,[7]
235,[7]
236,[11]
237,[3]
238,[3]
239,[3]
240,[3]
241,[3]
242,[3]
243,[3]
244,[3]
245,[3]
246,[3]
247,[3]
248,[3]
249,[3]
250,[5]
251,[3]
252,[4]
253,[13]
254,[11]
255,[11]
256,[5]
257,[5]
258,[15]
259,[15]
260,[15]
261,[15]
262,[15]
263,[15]
264,[15]
265,[15]
266,[15]
267,[15]
268,[1]
269,[1]
270,[10]
271,[10]
272,[10]
273,[10]
274,[10]
275,[6]
276,[1]
277,[15]
278,[15]
279,[15]
280,[15]
281,[15]
282,[1]
283,[1]
284,[13]
285,[10]
286,[15]
287,[13]
288,[13]
289,[13]
290,[13]
291,[8]
292,[1]
293,[10]
294,[10]
295,[11]
296,[11]
297,[13]
298,[11]
299,[6]
300,[13]
301,[10]
302,[10]
303,[13]
304,[13]
305,[13]
306,[12]
307,[13]
308,[13]
309,[13]
310,[13]
311,[10]
312,[13]
313,[8]
314,[14]
315,[10]
316,[10]
317,[11]
318,[11]
319,[8]
320,[13]
321,[7]
322,[7]
323,[4]
324,[13]
325,[4]
326,[11]
327,[4]
328,[11]
329,[13]
330,[2]
331,[2]
332,[11]
333,[2]
334,[6]
335,[10]
336,[1]
337,[13]
338,[6]
339,[11]
340,[9]
341,[9]
342,[2]
343,[5]
344,[5]
345,[5]
346,[5]
347,[5]
348,[5]
349,[5]
350,[5]
351,[5]
352,[2]
353,[2]
354,[11]
355,[11]
356,[11]
357,[2]
358,[13]
359,[10]
360,[5]
361,[7]
362,[13]
363,[6]
364,[2]
365,[2]
366,[2]
367,[2]
368,[2]
369,[2]
370,[1]
371,[5]
372,[5]
373,[14]
374,[2]
375,[2]
376,[2]
377,[4]
378,[4]
379,[5]
380,[2]
381,[9]
382,[2]
383,[5]
384,[6]
385,[4]
386,[3]
387,[4]
388,[3]
389,[4]
390,[7]
391,[7]
392,[7]
393,[7]
394,[10]
395,[4]
396,[5]
397,[7]
398,[8]
399,[13]
400,[15]
401,[13]
402,[13]
403,[13]
404,[14]
405,[3]
406,[7]
407,[11]
408,[5]
409,[6]
410,[3]
411,[3]
412,[4]
413,[3]
414,[4]
415,[14]
416,[9]
417,[6]
418,[7]
419,[7]
420,[14]
421,[14]
422,[12]
423,[10]
424,[11]
425,[14]
426,[4]
427,[8]
428,[13]
429,[13]
430,[11]
431,[6]
432,[11]
433,[3]
434,[3]
435,[3]
436,[13]
437,[1]
438,[1]
439,[5]
440,[5]
441,[4]
442,[5]
443,[5]
444,[7]
445,[9]
446,[2]
447,[2]
448,[2]
449,[9]
450,[9]
451,[7]
452,[11]
453,[2]
454,[7]
455,[37]
456,[36]
457,[35]
458,[25]
459,[25]
460,[35]
461,[35]
462,[21]
463,[37]
464,[20]
465,[20]
466,[23]
467,[23]
468,[24]
469,[24]
470,[25]
471,[23]
472,[25]
473,[25]
474,[23]
475,[23]
476,[23]
477,[23]
478,[23]
479,[23]
480,[23]
481,[23]
482,[28]
483,[30]
484,[24]
485,[24]
486,[18]
487,[16]
488,[18]
489,[18]
490,[18]
491,[27]
492,[30]
493,[19]
494,[38]
495,[31]
496,[31]
497,[31]
498,[31]
499,[31]
500,[37]
501,[16]
502,[16]
503,[16]
504,[26]
505,[26]
506,[26]
507,[26]
508,[26]
509,[26]
510,[26]
511,[37]
512,[37]
513,[26]
514,[37]
515,[27]
516,[26]
517,[26]
518,[26]
519,[26]
520,[33]
521,[26]
522,[21]
523,[29]
524,[21]
525,[38]
526,[29]
527,[29]
528,[27]
529,[30]
530,[22]
531,[31]
532,[38]
533,[20]
534,[21]
535,[33]
536,[33]
537,[22]
538,[21]
539,[33]
540,[28]
541,[16]
542,[16]
543,[30]
544,[28]
545,[34]
546,[34]
547,[34]
548,[30]
549,[16]
550,[38]
551,[18]
552,[18]
553,[18]
554,[18]
555,[19]
556,[19]
557,[27]
558,[27]
559,[33]
560,[27]
561,[38]
562,[30]
563,[18]
564,[20]
565,[18]
566,[16]
567,[30]
568,[30]
569,[34]
570,[22]
571,[22]
572,[22]
573,[22]
574,[22]
575,[22]
576,[16]
577,[16]
578,[38]
579,[34]
580,[16]
581,[30]
582,[30]
583,[20]
584,[20]
585,[16]
586,[38]
587,[38]
588,[30]
589,[30]
590,[34]
591,[38]
592,[21]
593,[38]
594,[34]
595,[34]
596,[34]
597,[38]
598,[34]
599,[35]
600,[35]
601,[35]
602,[35]
603,[35]
604,[35]
605,[35]
606,[39]
607,[39]
608,[39]
609,[39]
610,[39]
611,[35]
612,[36]
613,[36]
614,[32]
615,[32]
616,[32]
617,[35]
618,[19]
619,[19]
620,[37]
621,[34]
622,[34]
623,[34]
624,[39]
625,[39]
626,[39]
627,[23]
628,[25]
629,[27]
630,[39]
631,[39]
632,[23]
633,[23]
634,[32]
635,[27]
636,[34]
637,[27]
638,[32]
639,[37]
640,[37]
641,[29]
642,[34]
643,[29]
644,[33]
645,[33]
646,[30]
